Season,League,TeamID,OppTeamID,TeamScore,OppScore,GameResult,Win,WinPercentage,MedianScoreDiff,ChalkSeed,OppWinPercentage,OppMedianScoreDiff,OppChalkSeed,WinPctDiff,ChalkSeedDiff,MedianScoreDiffDiff,BaselinePred
1985,M,1116,1234,63,54,W,1,0.6363636363636364,5.0,9.0,0.6666666666666666,9.5,8.0,-0.030303030303030276,1.0,-4.5,False
1985,M,1120,1345,59,58,W,1,0.6206896551724138,2.0,11.0,0.68,9.0,6.0,-0.05931034482758624,5.0,-7.0,False
1985,M,1207,1250,68,43,W,1,0.9259259259259259,14.0,1.0,0.3793103448275862,-3.0,16.0,0.5466155810983397,-15.0,17.0,True
1985,M,1229,1425,58,55,W,1,0.7407407407407407,6.0,9.0,0.6785714285714286,2.5,8.0,0.062169312169312096,1.0,3.5,False
1985,M,1242,1325,49,38,W,1,0.7666666666666667,5.5,3.0,0.7407407407407407,6.0,14.0,0.02592592592592602,-11.0,-0.5,True
1985,M,1246,1449,66,58,W,1,0.5714285714285714,2.5,12.0,0.7096774193548387,8.0,5.0,-0.13824884792626735,7.0,-5.5,False
1985,M,1256,1338,78,54,W,1,0.9285714285714286,11.5,5.0,0.5769230769230769,4.5,12.0,0.35164835164835173,-7.0,7.0,True
1985,M,1260,1233,59,58,W,1,0.8333333333333334,9.0,4.0,0.8620689655172413,6.0,13.0,-0.028735632183907955,-9.0,3.0,True
1985,M,1314,1292,76,57,W,1,0.7419354838709677,9.0,2.0,0.5,-0.5,15.0,0.24193548387096775,-13.0,9.5,True
1985,M,1323,1333,79,70,W,1,0.7142857142857143,6.5,7.0,0.7241379310344828,5.0,10.0,-0.009852216748768461,-3.0,1.5,True
1985,M,1326,1235,75,64,W,1,0.6785714285714286,4.5,4.0,0.5862068965517241,2.0,13.0,0.09236453201970451,-9.0,2.5,True
1985,M,1328,1299,96,83,W,1,0.8333333333333334,10.0,1.0,0.6666666666666666,4.0,16.0,0.16666666666666674,-15.0,6.0,True
1985,M,1374,1330,85,68,W,1,0.7333333333333333,7.5,5.0,0.6206896551724138,2.0,12.0,0.11264367816091947,-7.0,5.5,True
1985,M,1385,1380,83,59,W,1,0.9,11.0,1.0,0.6428571428571429,6.0,16.0,0.2571428571428571,-15.0,5.0,True
1985,M,1396,1439,60,57,W,1,0.8275862068965517,8.0,8.0,0.7037037037037037,11.0,9.0,0.12388250319284799,-1.0,-3.0,True
1985,M,1424,1361,85,80,W,1,0.9,11.0,4.0,0.7666666666666667,6.0,13.0,0.1333333333333333,-9.0,5.0,True
1985,M,1104,1112,50,41,W,1,0.7,6.5,7.0,0.6666666666666666,4.0,10.0,0.033333333333333326,-3.0,2.5,True
1985,M,1130,1403,55,53,W,1,0.6153846153846154,2.0,11.0,0.7586206896551724,5.0,6.0,-0.14323607427055696,5.0,-3.0,False
1985,M,1181,1337,75,62,W,1,0.7586206896551724,13.0,3.0,0.7407407407407407,4.0,14.0,0.017879948914431676,-11.0,9.0,True
1985,M,1208,1455,67,59,W,1,0.7037037037037037,5.0,6.0,0.5862068965517241,3.0,11.0,0.11749680715197963,-5.0,2.0,True
1985,M,1210,1273,65,58,W,1,0.7741935483870968,7.0,2.0,0.7142857142857143,11.0,15.0,0.05990783410138245,-13.0,-4.0,True
1985,M,1228,1318,76,57,W,1,0.7419354838709677,12.0,3.0,0.7142857142857143,7.5,14.0,0.027649769585253448,-11.0,4.5,True
1985,M,1268,1275,69,68,W,1,0.6666666666666666,3.0,5.0,0.6428571428571429,4.5,12.0,0.023809523809523725,-7.0,-1.5,True
1985,M,1272,1335,67,55,W,1,0.896551724137931,10.0,2.0,0.5,-0.5,15.0,0.39655172413793105,-13.0,10.5,True
1985,M,1276,1192,59,55,W,1,0.8928571428571429,11.0,1.0,0.6785714285714286,2.5,16.0,0.2142857142857143,-15.0,8.5,True
1985,M,1298,1261,78,55,W,1,0.8214285714285714,10.5,13.0,0.6785714285714286,5.0,4.0,0.1428571428571428,9.0,5.5,False
1985,M,1301,1305,65,56,W,1,0.6896551724137931,6.0,3.0,0.6785714285714286,5.0,14.0,0.011083743842364546,-11.0,1.0,True
1985,M,1393,1177,70,65,W,1,0.7241379310344828,6.0,7.0,0.6666666666666666,10.0,10.0,0.05747126436781613,-3.0,-4.0,True
1985,M,1412,1277,70,68,W,1,0.7333333333333333,4.5,7.0,0.6785714285714286,9.0,10.0,0.05476190476190468,-3.0,-4.5,True
1985,M,1431,1409,79,75,W,1,0.6896551724137931,9.0,11.0,0.7586206896551724,8.0,6.0,-0.06896551724137923,5.0,1.0,False
1985,M,1433,1267,81,65,W,1,0.8333333333333334,10.5,2.0,0.6129032258064516,5.0,15.0,0.22043010752688175,-13.0,5.5,True
1985,M,1437,1173,51,49,W,1,0.6551724137931034,6.0,8.0,0.6785714285714286,5.0,9.0,-0.023399014778325178,-1.0,1.0,True
